hate+offensive_count,non-hate_count,class,tweet
0,3,0,mayasolov woman complain clean hous amp man alway take trash
3,0,1,mleew17 boy dat cold tyga dwn bad cuffin dat hoe 1st place
3,0,1,urkindofbrand dawg 80sbaby4lif ever fuck bitch start cri confus shit
2,1,1,anderson viva base look like tranni
6,0,1,shenikarobert shit hear might true might faker bitch told 57361
2,0,1,madison shit blow claim faith somebodi still fuck hoe 128514 128514 128514
3,0,1,brighterday sit hate anoth bitch got much shit go
3,0,1,8220 selfiequeenbri caus tire big bitch come skinni girl 8221
3,0,1,amp might get bitch back amp that
2,0,1,rhythmixx hobbi includ fight mariam bitch
3,0,1,keek bitch curv everyon lol walk convers like smh
3,0,1,murda gang bitch gang land
2,1,1,hoe smoke loser yea
3,0,1,bad bitch thing like
2,0,1,bitch get
3,0,1,bitch nigga miss
3,0,1,bitch plz whatev
2,0,1,bitch love
3,0,1,bitch get cut everyday
3,0,1,black bottl amp bad bitch
3,0,1,broke bitch cant tell noth
3,0,1,cancel bitch like nino
3,0,1,cant see hoe wont chang
3,0,1,fuck bitch dont even suck dick 128514 128514 128514 kermit video bout fuck
3,0,1,got bitch tip toe hardwood floor 128514 http cou2wq5l4q
2,1,1,pussi lip like heaven door 128524
3,0,1,hoe hit
3,0,1,met pussi ocean gave pussi pill 128524
3,0,1,need trippi bitch fuck hennessi
3,0,1,spend money want bitch busi
3,0,1,txt old bitch new bitch pussi wetter
3,0,1,would say back old old bitch would get excit 128524
3,0,1,aint bout murder game pussi nigga shut
3,0,1,toe done pussi stink
3,0,1,done bitter bitch wrap angri bird there app
3,0,1,bitch
3,0,1,aint noth cut bitch
3,0,1,jus meet son mane ass bitch shot
2,1,1,lame cri hoe that tear clown
3,0,1,like snoop said dont love hoe
1,2,0,momma said pussi cat insid doghous
3,0,1,hate hoe favorit 2mw sevenon http bmdsvmc3rc
3,0,1,nice girl bad make get naughti bad yello hoe real nice bodi south chick like real thick http bzrdl3000f7u
3,0,1,pimp pimp hoe futur voic
3,0,1,post pictur pussi get 200 like
3,0,1,pussi power drug 128517 happyhumpday http r8jsymib5b
3,0,1,quick piec pussi call drive
3,0,1,run round like brand new pussi that bout get fuck
3,0,1,bitch even worst send guy
2,0,1,hoe like nigga spend money talk bout
2,0,1,dont trust nigga bitch
3,0,1,yall nigga cuf hoe caus yall aint never bitch
3,0,1,dodg bullet 128517 8220 darealkha bitch cut pregnant bound thank god 128591 8221
3,0,1,young pill chamberlain bitch love music
2,1,1,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 vandalsavag teanna trump probabl cleaner twitter hoe
3,0,1,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 dahomiefuzz gay nigga could wait act like bitch tonight
3,0,1,128514 128514 128514 paradox ima steal cat replac pitbul 128514 128514 128514 128514 80sbaby4lif paradox bitch
3,0,1,amp gone alway hoe
3,0,1,son bitch took tic tac like movi
3,0,1,wanna get money fuck model bitch russel simmon
2,1,1,2015seniorprob probabl 8217 mind school much 8217 deal bitch ass teacher retweet
3,0,1,a7xdemeri fuck fag said
3,0,1,arizzleindacut femal think date pussi cute http vxbjg26gsz stuff make pussi
0,3,0,addicted2guy http 1jl4hi8zmf woof woof hot scalli lad
3,0,1,adorebellaaa ever ask bitch bitch kany voic yes
3,0,1,adorezoey gone bring side bitch game know friend 128553 128553 128553 128553 swear
1,2,0,allaboutmanfeet http 3gzupfumev woof woof hot sole
1,2,0,allyhaaaaa lemmi eat oreo amp dish one oreo lol
3,0,1,almightywayn jetsandaswish gook bitch fuck http pxmga68nc1 mayb get better http tprevwfq0
2,0,1,almightywayn fuck red malon man bitch ass niggah could pleas use complet sentenc
0,3,0,arizonasfinest6 eggplant emoji doe say look like scream lmao
3,0,1,autoworid hennessey venom 128584 http i8egmnkaj9 one sexi bitch
