,hate+offensive_count,non-hate_count,class,tweet
0,0,3,0,mayasolov woman complain clean house. amp man alway take trash out...
1,3,0,1,mleew17 boy dat cold...tyga dwn bad cuffin dat hoe 1st place
2,3,0,1,urkindofbrand dawg 80sbaby4lif ever fuck bitch start cri confus shit
3,2,1,1,c_g_anderson viva_bas look like tranni
4,6,0,1,shenikarobert shit hear might true might faker bitch told 57361
5,3,0,1,t_madison_x shit blow me..claim faith somebodi still fuck hoe 128514 128514 128514
6,3,0,1,__brighterday sit hate anoth bitch got much shit go
7,3,0,1,8220 selfiequeenbri caus i'm tire big bitch come skinni girl 8221
8,3,0,1,amp might get bitch back amp that
9,3,0,1,rhythmixx_ hobbi includ fight mariam bitch
10,3,0,1,keek bitch curv everyon lol walk convers like this. smh
11,3,0,1,murda gang bitch gang land
12,2,1,1,hoe smoke loser yea ...
13,3,0,1,bad bitch thing like
14,3,0,1,bitch get
15,3,0,1,bitch nigga miss
16,3,0,1,bitch plz whatev
17,3,0,1,bitch love
18,3,0,1,bitch get cut everyday
19,3,0,1,black bottl amp bad bitch
20,3,0,1,broke bitch cant tell noth
21,3,0,1,cancel bitch like nino
22,3,0,1,cant see hoe wont chang
23,3,0,1,fuck bitch dont even suck dick 128514 128514 128514 kermit video bout fuck
24,3,0,1,got bitch tip toe hardwood floor 128514 http t.co cou2wq5l4q
25,2,1,1,pussi lip like heaven door 128524
26,3,0,1,hoe hit
27,3,0,1,met pussi ocean gave pussi pill 128524
28,3,0,1,need trippi bitch fuck hennessi
29,3,0,1,spend money want bitch busi
30,3,0,1,txt old bitch new bitch pussi wetter
31,3,0,1,i'd say back old old bitch would get excit 128524
32,3,0,1,aint bout murder game pussi nigga shut
33,3,0,1,toe ain't done pussi stink
34,3,0,1,done bitter bitch wrap angri bird there app
35,3,0,1,bitch
36,3,0,1,aint noth cut bitch
37,3,0,1,jus meet son mane ass bitch shot
38,2,1,1,lame cri hoe that tear clown
39,3,0,1,like snoop said dont love hoe
40,1,2,0,momma said pussi cat insid doghous
41,3,0,1,hate hoe favorit 2mw sevenon http t.co bmdsvmc3rc
42,3,0,1,nice girl bad make get naughty. bad yello hoe real nice body. south chick like real thick http t.co bzrdl3kf7u
43,3,0,1,pimp pimp hoe futur voic
44,3,0,1,post pictur pussi get 200 like
45,3,0,1,pussi power drug 128517 happyhumpday http t.co r8jsymib5b
46,3,0,1,quick piec pussi call drive
47,3,0,1,run round like brand new pussi that bout get fuck
48,3,0,1,bitch even worst they'll send guy
49,3,0,1,hoe like nigga spend money talk bout
50,3,0,1,dont trust nigga bitch
51,3,0,1,yall nigga cuf hoe caus yall aint never bitch
52,3,0,1,dodg bullet 128517 8220 darealkha bitch cut pregnant bound ....thank god 128591 8221
53,3,0,1,young pill chamberlain bitch love music
54,2,1,1,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 vandalsavage_ teanna trump probabl cleaner twitter hoe but.........
55,3,0,1,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 dahomiefuzz gay nigga wait act like bitch tonight
56,3,0,1,128514 128514 128514 the_paradox ima steal cat replac pitbul 128514 128514 128514 128514 80sbaby4lif the_paradox bitch
57,3,0,1,amp he gone alway hoe
58,3,0,1,...son bitch took tic tacs. like movie.
59,3,0,1,..all wanna get money fuck model bitch russel simmon
60,2,1,1,2015seniorprob probabl 8217 mind school much 8217 deal bitch ass teacher retweet
61,3,0,1,a7xdemeri i'm fuck fag said
62,3,0,1,arizzleindacut femal think date pussi cute http t.co vxbjg26gsz stuff make pussi
63,0,3,0,addicted2guy http t.co 1jl4hi8zmf woof woof hot scalli lad
64,3,0,1,adorebellaaa ever ask bitch bitch kany voic yes
65,3,0,1,adorezoey gone bring side bitch game know friend 128553 128553 128553 128553 swear
66,1,2,0,allaboutmanfeet http t.co 3gzupfumev woof woof hot sole
67,1,2,0,allyhaaaaa lemmi eat oreo amp dishes. one oreo lol
68,3,0,1,almightywayne__ jetsandaswish gook____ bitch fuck http t.co pxmga68nc1 mayb get better. http t.co tprevwfq0
69,3,0,1,almightywayne__ fuck red malon man bitch ass niggah could pleas use complet sentenc
70,0,3,0,arizonasfinest6 eggplant emoji doe say look like scream lmao
71,3,0,1,autoworid hennessey venom 128584 http t.co i8egmnkaj9 that one sexi bitch
72,3,0,1,bossbytchh seh pussi wetter shower curtain.... ahmesehwet lmao
73,3,0,1,bro_hen314 eaglesn everi eagl need see pic post bitch said racist shit
74,3,0,1,bvsedchink fuck skateboard y'all wood push faggot man ball life http t.co vbczp6hmt7 amjemiebenn
75,1,2,0,babyanimalp babi monkey bathtim http t.co 7kpwadlf0r awwww soooo ador
76,3,0,1,baylaagottabodi 128514 128514 128514 128514 ain't shit damn skippi lol
77,3,0,1,beeasyjrizzi ever kill ant sidewalk think damn nigga way get pussi must chanc
78,3,0,1,beenbasedb _kudabrazyy http t.co luubgl9y5u ring mvps bitch lol
79,3,0,1,beenflynsolo ppl talk bad ghetto hood ... kid grow nigga funnnnnnn
80,7,2,1,bestproadvic fact tattoos...tattoo http t.co zwnbhpdz8e he pussi tattoo nippl
81,3,0,1,bill215_ 128175 128175 128175 nel_ayden bitch want act like nigga bad 128553 128553 128553 shit aint cuteeee nigga act like bitches..
82,3,0,1,bitchjones92 get worship bitch http t.co r37cejcjou woof woof
83,3,0,1,blackchiquitita wow. thatmanpalm i'm lost. buttcheek pierc http t.co yn6guyouq6 yeah hoe
84,3,0,1,blacknerdjad sis. she'd rather broke bitch shrug she'll tell work
85,3,0,1,blackman38tid whalelookyher howdydowdy11 queer gaywad
86,3,0,1,brokenpiecesmsc itsnotadam faggot read tweet dat even funni lol
87,3,0,1,brosconfess bitch ungrat http t.co 06e77bgwbx ..... lulwhor
88,3,0,1,cashandboobi kidnap bitch
89,3,0,1,cb_baby24 white_thunduh alsarabsss hes beaner smh tell hes mexican
90,3,0,1,ccobey aydanmccoy happi birthday nig thank
91,6,0,1,chlldhoodruin teacher tell homework https t.co rkk5vawij1 bitch need
92,3,0,1,caelang15 22edham caelang15 nigga eat hoe lol hell yea lol john paul nigga said john paul.. http t.co osipbkpr9h
93,3,0,1,canifuckornah would y'all lil ugli bald head bitch stop make make-up amp weav
94,3,0,1,carelessone92 leaf better win damn game riot shit earlychristma better start loot nig
95,3,0,1,causewereguy go back school suck dick hoe attend it.
96,3,0,1,causewereguy way fuck bitch http t.co j906t5ze2r year old
97,3,0,1,celeynichol white_thunduh come never bring food dont car retard
98,3,0,1,chadmfverbeck richnow show hella tinder hoe friend anymor chill brought like like propl
99,3,0,1,chandlerparson bout cowboy shutup pussi
100,3,0,1,clicquotsuav lmaooooooooooo nigga krillz_nuh_car http t.co aanpsujmyi bitch want like depress shit..foh
101,3,0,1,coley_ce lil_aerii girl know spit shit amp go lbvs bitch plz
102,3,0,1,coley_ce let make coupl tweet cuzzo page get twitter jail. lmao bitch trick
103,2,1,1,comedypost harlem shake excus full retard seconds.
104,3,0,1,comedytruth amen miley 128591 http t.co p2kb2tfyxr okay need act like hoe emot damag foh
105,3,0,1,corybandz one loyal femal wayyyyy better hoe idc 128175
106,3,0,1,crhedri pussi lick pussy.... meow meow stopwhitepeople2014 128049 https t.co keegdcjs5k 8221 128533
107,3,0,1,dbab_holloway check 12th man. cowboysn even faggot fan stand
108,3,0,1,dgotbrick happen vixen ent bitch got ran threw side like foothil bitch
109,3,0,1,daedavidavi white_thunduh bitch okay nude pat 128554 128527 128056 wow
110,3,0,1,devilgrimz vigxrart fuck gay blacklist hoe hold tehgodclan anyway http t.co xuccwoetmn
111,3,0,1,diamondloudkush fuck wrong bitch nobodi know
112,3,0,1,dietrich1892 yall shut make bitch
113,3,0,1,dionairish hate i'm pregnant type bitch.
114,3,0,1,doyou_q got bitch ever read'em top
115,0,3,0,domworldpeac basebal season win. yanke love start
116,3,0,1,dommoneek littl stupid bitch fuck yoooooouuuu..
117,3,0,1,dreadheadari realli ask dead ass serious tho could say bitch wheet lol
118,0,3,0,dunderbail i'm earli bird i'm night owl i'm wise worms.
119,1,2,0,edgarpixar overdos heavi drug sound bad tonight. pussi shit everi day.
120,0,3,0,el_grillo1 pit bull photograph love fairi tale creatur http t.co q0sm89oolh 8221 fairi tale creatures.
121,3,0,1,ferocious_ghost 1stname_bravo aw. ...fag tweet lol
122,0,3,0,flokid88 long laker trash could careless. that real. benbal hahaha
123,3,0,1,frosstyy_ h0rheyd say anyth tho kiss faggot
124,0,3,0,funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut http t.co zuai7qwbir 128514 yup
125,3,0,1,g27status could fat ass bitch lap
126,3,0,1,gedmell miss call 128544 128545 das p.o bitch twitter finna screamn freemoneymell
127,6,0,1,gtm_al side bitch gotta know rule shit..anybodi ask cousin jersey thinkin bout move lmmfao 128514 128514 128514 128514
128,3,0,1,gagatom1 8220 malefoot amo los pie http t.co 4qe1hdkk8i 8221 fuck yeah
129,3,0,1,girlthatsvont hoe think meat slap ass 128564 128075 ainna bruh
130,3,0,1,girlthatsvont yall bitch wit edg talk 128553 128564 9995 128514 128514 128514
131,3,0,1,girlthatsvont yall still go trick treat year nah hell yeah ima sweet tooth bandit steal bitch bag shit
132,3,0,1,girllssu wanna sex mom fuck right pussi came damn got hack like fuck
133,6,0,1,gizzy_jones94 kiss eye open watch bitch lmfao
134,3,0,1,goofstroop woulda coulda shoulda ass hoe 128563 128586
